Timestamp,Univerisity Roll Number ,Semester ,Branch,Previous Semester SGPA,Previous Semester Overall Attendance Percentage ,Average Study Hours Per Day (at home),Do you make notes?,When do you seriously start studying for final exam?,Average sleep (sleep per day),Social Media Usage ,Exercise Frequency 
20/08/2026 12:01:47,2329303,7,Engineering,7.09,75,less than 1 hour,No,2 days before exams,less than 5 hours,3 hours,2 hours
20/08/2026 12:02:57,2341699,7,Engineering,7.23,85%,2 hours,Yes,2 days before exams,less than 5 hours,2 hours,less than 1 hour
20/08/2026 12:04:07,2329399,7,Engineering,7.65,70,less than 1 hour,No,1 week before exams,7 hours,2 hours,less than 1 hour
20/08/2026 12:04:40,2329425,7,Engineering,8,66,more than 4 hours,No,2 days before exams,more than 7 hours,more than 4 hours,less than 1 hour
20/08/2026 12:04:46,2544986,1,Engineering,Hshs,Hshs,less than 1 hour,Yes,2 days before exams,less than 5 hours,2 hours,less than 1 hour
20/08/2026 12:04:49,2341700,7,Engineering,7.05,90,2 hours,Yes,3 weeks before exams,more than 7 hours,2 hours,3 hours
20/08/2026 12:05:23,2544988,3,Engineering,6.25,80,less than 1 hour,Yes,1 week before exams,6 hours,2 hours,3 hours
20/08/2026 12:35:09,2329411,7,Engineering,-,6,3 hours,Yes,2 days before exams,more than 7 hours,2 hours,2 hours
20/08/2026 12:35:21,2329368,7,Engineering,7.65,85,less than 1 hour,Yes,1 week before exams,7 hours,2 hours,less than 1 hour
20/08/2026 13:22:22,457347,7,Engineering,0,0,more than 4 hours,No,2 days before exams,more than 7 hours,more than 4 hours,more than 3 hours
